title,vote_count,vote_average,year,genres,id
Muppet Treasure Island,93.0,6.5,1996,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",10874
Braveheart,3404.0,7.7,1995,"['Action', 'Drama', 'History', 'War']",197
Taxi Driver,2632.0,8.1,1976,"['Crime', 'Drama']",103
Rumble in the Bronx,245.0,6.5,1995,"['Crime', 'Action', 'Comedy', 'Thriller']",33542
Before and After,37.0,5.8,1996,"['Drama', 'Thriller']",43566
Happiness Is in the Field,23.0,7.0,1995,['Comedy'],43612
The Young Poisoner's Handbook,19.0,6.9,1995,"['Comedy', 'Crime', 'Drama']",16934
If Lucy Fell,11.0,5.4,1996,"['Comedy', 'Romance']",10324
Race the Sun,21.0,5.2,1996,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']",55731
Boomerang,139.0,5.4,1992,"['Comedy', 'Romance']",11066
Chungking Express,249.0,7.9,1994,"['Drama', 'Comedy', 'Romance']",11104
The Star Maker,29.0,6.8,1995,"['Drama', 'Romance']",37975
Flirting with Disaster,66.0,6.3,1996,"['Comedy', 'Romance']",2074
The Neverending Story III: Escape from Fantasia,105.0,4.4,1994,['Fantasy'],27793
Jade,45.0,5.1,1995,"['Action', 'Thriller', 'Mystery', 'Romance']",11863
Down Periscope,110.0,5.6,1996,['Comedy'],9101
Up Close & Personal,51.0,5.9,1996,"['Drama', 'Romance']",9302
The Birdcage,303.0,6.7,1996,['Comedy'],11000
The Brothers McMullen,23.0,6.3,1995,"['Comedy', 'Drama', 'Romance']",16388
Bad Boys,1729.0,6.5,1995,"['Action', 'Comedy', 'Crime', 'Thriller']",9737
The Amazing Panda Adventure,31.0,5.0,1995,"['Action', 'Adventure', 'Drama', 'Family']",30765
The Basketball Diaries,472.0,7.2,1995,"['Drama', 'Crime']",10474
An Awfully Big Adventure,11.0,6.0,1995,"['Romance', 'Drama', 'Comedy']",22279
Amateur,21.0,6.5,1994,"['Crime', 'Comedy', 'Drama', 'Thriller']",30157
Apollo 13,1637.0,7.3,1995,['Drama'],568
Rob Roy,151.0,6.5,1995,['Adventure'],11780
The Addiction,46.0,6.4,1995,"['Drama', 'Horror']",34996
Batman Forever,1529.0,5.2,1995,"['Action', 'Crime', 'Fantasy']",414
Belle de Jour,163.0,7.3,1967,"['Drama', 'Romance']",649
Beyond Rangoon,21.0,6.4,1995,"['Drama', 'Thriller']",1873
Blue in the Face,28.0,6.8,1995,['Comedy'],5894
Canadian Bacon,57.0,5.9,1995,"['Action', 'Comedy']",1775
Casper,1045.0,6.0,1995,"['Fantasy', 'Comedy', 'Family']",8839
Clockers,69.0,6.8,1995,"['Mystery', 'Crime', 'Drama']",20649
Congo,214.0,5.0,1995,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",10329
Crimson Tide,508.0,7.0,1995,"['Action', 'Thriller', 'Drama']",8963
Crumb,71.0,7.6,1994,['Documentary'],26564
Desperado,898.0,6.8,1995,"['Thriller', 'Action', 'Crime']",8068
Devil in a Blue Dress,88.0,6.3,1995,"['Drama', 'Mystery', 'Thriller']",8512
Die Hard: With a Vengeance,2094.0,6.9,1995,"['Action', 'Thriller']",1572
The Doom Generation,57.0,5.6,1995,"['Action', 'Comedy', 'Crime', 'Drama']",13552
First Knight,319.0,5.9,1995,"['Action', 'Adventure', 'Drama', 'Romance']",6520
Free Willy 2 - The Adventure Home,130.0,5.5,1995,['Adventure'],9073
Hackers,406.0,6.2,1995,"['Action', 'Crime', 'Thriller', 'Drama']",10428
Jeffrey,19.0,6.5,1995,"['Comedy', 'Drama', 'Romance']",17447
Johnny Mnemonic,380.0,5.5,1995,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",9886
Judge Dredd,643.0,5.4,1995,['Science Fiction'],9482
Jury Duty,34.0,4.0,1995,"['Comedy', 'Drama']",19326
Kids,280.0,6.8,1995,"['Drama', 'Crime']",9344
Living in Oblivion,64.0,7.2,1995,"['Drama', 'Comedy']",9071
Lord of Illusions,87.0,5.9,1995,"['Mystery', 'Horror', 'Thriller']",8973
Mad Love,27.0,5.5,1995,"['Drama', 'Family', 'Romance']",47608
Mallrats,400.0,6.8,1995,"['Romance', 'Comedy']",2293
Mighty Morphin Power Rangers: The Movie,153.0,5.2,1995,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",9070
Moonlight and Valentino,10.0,5.6,1995,"['Comedy', 'Drama', 'Romance']",68274
Mute Witness,36.0,6.4,1995,"['Thriller', 'Foreign']",48787
Nadja,12.0,5.9,1994,"['Horror', 'Thriller']",34574
The Net,359.0,5.6,1995,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",1642
Nine Months,171.0,5.5,1995,['Comedy'],11472
Party Girl,14.0,5.8,1995,['Comedy'],36196
The Prophecy,139.0,6.4,1995,"['Fantasy', 'Horror', 'Thriller']",11980
Safe,62.0,7.2,1995,['Drama'],32646
The Scarlet Letter,111.0,5.5,1995,"['Drama', 'History', 'Romance']",10533
Showgirls,261.0,4.9,1995,['Drama'],10802
Smoke,115.0,7.2,1995,"['Comedy', 'Drama']",10149
Something to Talk About,60.0,5.7,1995,['Comedy'],18402
Species,457.0,5.5,1995,"['Science Fiction', 'Horror', 'Action']",9348
Strange Days,334.0,6.8,1995,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",281
The Umbrellas of Cherbourg,119.0,7.6,1964,"['Drama', 'Romance']",5967
Three Wishes,18.0,6.1,1995,"['Drama', 'Fantasy']",47939
Total Eclipse,112.0,6.5,1995,"['Drama', 'Romance']",36834
"To Wong Foo, Thanks for Everything! Julie Newmar",117.0,6.3,1995,['Comedy'],9090
Under Siege 2: Dark Territory,217.0,5.6,1995,"['Action', 'Thriller']",3512
A Walk in the Clouds,168.0,6.5,1995,"['Drama', 'Romance']",9560
Waterworld,1017.0,5.9,1995,"['Adventure', 'Action']",9804
White Man's Burden,25.0,5.1,1995,['Drama'],31611
Wild Bill,27.0,5.9,1995,"['Action', 'Western']",65796
The Browning Version,11.0,6.0,1994,['Drama'],49805
Bushwhacked,29.0,4.9,1995,"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']",26258
Burnt by the Sun,35.0,6.7,1994,['Drama'],50797
Before the Rain,45.0,7.7,1994,"['Drama', 'War']",19155
Before Sunrise,984.0,7.7,1995,"['Drama', 'Romance']",76
Billy Madison,464.0,6.2,1995,['Comedy'],11017
The Babysitter,27.0,4.7,1995,"['Drama', 'Thriller']",37141
Boys on the Side,48.0,6.3,1995,"['Comedy', 'Drama']",9382
The Cure,58.0,7.2,1995,"['Drama', 'Family']",6715
Castle Freak,40.0,5.8,1995,"['Thriller', 'Drama', 'Horror', 'Mystery']",18256
Circle of Friends,30.0,6.5,1995,"['Drama', 'Family', 'Romance']",22625
Clerks,769.0,7.4,1994,['Comedy'],2292
Don Juan DeMarco,184.0,6.3,1994,"['Romance', 'Drama', 'Comedy']",1909
Disclosure,217.0,5.9,1994,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",8984
Drop Zone,91.0,5.1,1994,"['Action', 'Adventure', 'Thriller']",4954
Death and the Maiden,92.0,7.1,1994,"['Drama', 'Thriller', 'Mystery']",10531
Dolores Claiborne,183.0,7.1,1995,"['Crime', 'Drama', 'Mystery']",11929
Dumb and Dumber,1894.0,6.5,1994,['Comedy'],8467
Eat Drink Man Woman,76.0,7.5,1994,"['Comedy', 'Drama', 'Romance']",10451
Exotica,64.0,6.5,1994,"['Drama', 'Mystery']",20156
Exit to Eden,28.0,4.3,1994,"['Thriller', 'Comedy', 'Crime', 'Romance']",18395
Ed Wood,639.0,7.3,1994,"['Comedy', 'Drama', 'History']",522
French Kiss,179.0,6.2,1995,"['Comedy', 'Romance']",397
Forget Paris,38.0,6.1,1995,"['Comedy', 'Drama', 'Romance']",10525
Far from Home: The Adventures of Yellow Dog,27.0,5.6,1995,"['Action', 'Adventure', 'Drama', 'Family']",27985
A Goofy Movie,404.0,6.7,1995,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",15789
Hideaway,24.0,5.0,1995,"['Drama', 'Thriller']",27303
Fluke,48.0,6.6,1995,"['Drama', 'Family', 'Fantasy']",21183
Farinelli,20.0,5.9,1994,"['History', 'Drama']",10954
Hoop Dreams,91.0,7.7,1994,['Documentary'],14275
Heavenly Creatures,299.0,6.9,1994,"['Drama', 'Fantasy']",1024
Houseguest,17.0,6.0,1995,"['Comedy', 'Family']",17207
Immortal Beloved,90.0,6.9,1994,"['Drama', 'Music', 'Romance']",13701
Heavyweights,97.0,6.0,1995,"['Comedy', 'Family', 'Drama']",14819
The Hunted,25.0,6.0,1995,"['Action', 'Thriller']",32631
I.Q.,112.0,5.9,1994,"['Comedy', 'Drama', 'Romance']",11777
Interview with the Vampire,1558.0,7.2,1994,"['Horror', 'Romance']",628
Jefferson in Paris,10.0,5.2,1995,"['Drama', 'Romance']",87729
The Jerky Boys,10.0,4.8,1995,"['Comedy', 'Crime']",18713
Junior,381.0,4.7,1994,"['Comedy', 'Family', 'Romance']",6280
Just Cause,124.0,6.0,1995,"['Action', 'Drama', 'Mystery', 'Thriller']",9061
A Kid in King Arthur's Court,40.0,4.3,1995,"['Adventure', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']",37108
Kiss of Death,83.0,5.7,1995,"['Action', 'Crime', 'Drama', 'Thriller']",6071
Star Wars,6778.0,8.1,1977,"['Adventure', 'Action', 'Science Fiction']",11
Little Women,222.0,7.0,1994,"['Drama', 'Romance']",9587
A Little Princess,207.0,7.4,1995,"['Drama', 'Family', 'Fantasy']",19101
Ladybird Ladybird,14.0,7.4,1994,['Drama'],49980
L'Enfer,22.0,6.6,1994,"['Crime', 'Drama']",17961
Like Water for Chocolate,70.0,6.6,1992,"['Drama', 'Romance']",18183
Legends of the Fall,636.0,7.2,1994,"['Adventure', 'Drama', 'Romance', 'War']",4476
Major Payne,164.0,6.1,1995,"['Adventure', 'Comedy', 'Family']",11008
Little Odessa,31.0,6.4,1994,"['Action', 'Drama']",47504
Love Affair,11.0,4.3,1994,"['Drama', 'Romance']",43742
Losing Isaiah,28.0,6.4,1995,['Drama'],28313
The Madness of King George,67.0,6.7,1994,"['Comedy', 'Drama', 'History']",11318
Mary Shelley's Frankenstein,272.0,6.1,1994,"['Drama', 'Horror', 'Science Fiction', 'Romance']",3036
Man of the House,40.0,5.1,1995,"['Action', 'Comedy', 'Family']",40490
Mixed Nuts,37.0,5.2,1994,"['Comedy', 'Drama', 'Romance']",24070
Milk Money,49.0,5.6,1994,"['Comedy', 'Romance']",8986
Miracle on 34th Street,199.0,6.4,1994,"['Fantasy', 'Drama', 'Family']",10510
My Family,11.0,7.0,1995,"['Comedy', 'Drama']",38722
Murder in the First,140.0,6.9,1995,"['Crime', 'Drama']",8438
Nobody's Fool,56.0,7.0,1994,"['Drama', 'Comedy']",11593
Nell,128.0,6.1,1994,"['Drama', 'Thriller']",1945
Nemesis 2 - Nebula,10.0,4.6,1995,"['Science Fiction', 'Action', 'Thriller']",63105
Natural Born Killers,927.0,6.9,1994,"['Crime', 'Thriller', 'Drama']",241
Only You,92.0,6.4,1994,"['Comedy', 'Drama', 'Romance']",9058
Once Were Warriors,106.0,7.6,1994,['Drama'],527
Poison Ivy II: Lily,32.0,4.6,1996,"['Drama', 'Romance', 'Thriller']",18220
Outbreak,522.0,6.4,1995,"['Action', 'Drama', 'Science Fiction', 'Thriller']",6950
Leon: The Professional,4293.0,8.2,1994,"['Thriller', 'Crime', 'Drama']",101
Pulp Fiction,8670.0,8.3,1994,"['Thriller', 'Crime']",680
Priest,32.0,6.4,1994,"['Drama', 'Romance']",40156
Quiz Show,262.0,7.1,1994,"['History', 'Drama']",11450
Queen Margot,67.0,7.0,1994,"['Drama', 'History']",10452
The Quick and the Dead,431.0,6.2,1995,"['Action', 'Western']",12106
Prêt-à-Porter,33.0,5.3,1994,"['Drama', 'Comedy']",3586
Three Colors: Red,246.0,7.8,1994,"['Drama', 'Mystery', 'Romance']",110
Three Colors: Blue,311.0,7.7,1993,"['Drama', 'Music', 'Mystery']",108
Three Colors: White,218.0,7.3,1994,"['Comedy', 'Drama', 'Mystery']",109
Rent-a-Kid,15.0,5.1,1995,"['Comedy', 'Family', 'TV Movie']",36357
The Swan Princess,251.0,6.5,1994,['Animation'],22586
The Secret of Roan Inish,15.0,6.1,1994,"['Drama', 'Family', 'Fantasy']",14334
The Specialist,317.0,5.5,1994,"['Action', 'Thriller']",2636
Stargate,942.0,6.8,1994,"['Action', 'Adventure', 'Science Fiction']",2164
The Santa Clause,501.0,6.3,1994,"['Fantasy', 'Drama', 'Comedy', 'Family']",11395
The Shawshank Redemption,8358.0,8.5,1994,"['Drama', 'Crime']",278
Shallow Grave,247.0,7.0,1994,"['Crime', 'Thriller']",9905
Strawberry and Chocolate,16.0,7.1,1993,"['Comedy', 'Drama']",12527
Swimming with Sharks,104.0,6.7,1994,"['Crime', 'Comedy']",20306
The Sum of Us,21.0,6.0,1994,"['Comedy', 'Drama', 'Romance']",36614
Senior Trip,23.0,5.7,1995,['Comedy'],27993
To Live,62.0,7.7,1994,"['Drama', 'Romance', 'War']",31439
Tank Girl,140.0,5.5,1995,"['Action', 'Comedy', 'Fantasy', 'Science Fiction']",9067
Tales from the Crypt: Demon Knight,96.0,6.7,1995,"['Horror', 'Comedy', 'Thriller']",9059
Star Trek: Generations,461.0,6.4,1994,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",193
Tales from the Hood,33.0,5.4,1995,"['Crime', 'Horror', 'Thriller']",25066
Village of the Damned,165.0,5.6,1995,"['Thriller', 'Horror', 'Science Fiction']",12122
Tommy Boy,321.0,6.8,1995,['Comedy'],11381
Vanya on 42nd Street,15.0,6.1,1994,"['Drama', 'Romance']",32636
The Underneath,15.0,5.6,1995,"['Thriller', 'Crime']",36141
What's Eating Gilbert Grape,943.0,7.5,1993,"['Romance', 'Drama']",1587
Virtuosity,163.0,5.4,1995,"['Action', 'Crime', 'Science Fiction', 'Thriller']",9271
While You Were Sleeping,340.0,6.5,1995,"['Comedy', 'Drama', 'Romance']",2064
The War,39.0,6.3,1994,['Drama'],19855
Muriel's Wedding,104.0,6.9,1994,"['Drama', 'Comedy', 'Romance']",236
The Baby-Sitters Club,23.0,5.3,1995,"['Comedy', 'Drama', 'Family']",48287
Ace Ventura: Pet Detective,1684.0,6.4,1994,"['Comedy', 'Mystery']",3049
"The Adventures of Priscilla, Queen of the Desert",174.0,7.2,1994,"['Drama', 'Comedy']",2759
Backbeat,37.0,6.2,1994,"['Drama', 'Music']",12635
Bitter Moon,115.0,7.0,1992,"['Thriller', 'Drama', 'Romance']",10497
Bullets Over Broadway,130.0,7.0,1994,"['Action', 'Comedy', 'Thriller']",11382
Clear and Present Danger,390.0,6.4,1994,"['Action', 'Drama', 'Thriller']",9331
The Client,287.0,6.4,1994,"['Drama', 'Thriller', 'Crime', 'Mystery']",10731
"Corrina, Corrina",83.0,6.4,1994,"['Comedy', 'Drama', 'Family', 'Romance']",10464
Crooklyn,31.0,6.7,1994,"['Comedy', 'Drama']",34152
The Crow,980.0,7.3,1994,"['Fantasy', 'Action', 'Thriller']",9495
Cobb,29.0,6.1,1994,['Drama'],29973
The Flintstones,559.0,5.0,1994,"['Fantasy', 'Comedy', 'Family']",888
Forrest Gump,8147.0,8.2,1994,"['Comedy', 'Drama', 'Romance']",13
Four Weddings and a Funeral,654.0,6.6,1994,"['Comedy', 'Drama', 'Romance']",712
Higher Learning,49.0,6.4,1995,"['Romance', 'Drama', 'Crime']",16295
I Love Trouble,41.0,5.3,1994,"['Action', 'Comedy', 'Romance']",10879
It Could Happen to You,154.0,6.1,1994,"['Comedy', 'Drama', 'Romance']",10660
The Jungle Book,107.0,5.9,1994,"['Adventure', 'Drama', 'Family']",10714
The Lion King,5520.0,8.0,1994,"['Family', 'Animation', 'Drama']",8587
Little Buddha,76.0,6.0,1993,"['Drama', 'History']",1689
New Nightmare,297.0,6.4,1994,"['Horror', 'Thriller', 'Mystery', 'Fantasy']",11596
The Mask,2550.0,6.6,1994,"['Romance', 'Comedy', 'Crime', 'Fantasy']",854
Maverick,490.0,6.6,1994,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",9359
Mrs. Parker and the Vicious Circle,20.0,6.3,1994,['Drama'],23333
The Naked Gun 33⅓: The Final Insult,535.0,6.4,1994,"['Comedy', 'Crime']",36593
The Paper,40.0,6.1,1994,"['Comedy', 'Drama']",12280
Reality Bites,180.0,6.5,1994,['Drama'],2788
Red Rock West,71.0,6.4,1993,"['Crime', 'Drama', 'Thriller']",10427
Ri¢hie Ri¢h,426.0,5.4,1994,"['Comedy', 'Family']",11011
The River Wild,214.0,6.1,1994,"['Action', 'Adventure', 'Crime', 'Thriller']",8987
Speed,1814.0,6.8,1994,"['Action', 'Adventure', 'Crime']",1637
Speechless,24.0,5.5,1994,"['Comedy', 'Romance']",15128
Timecop,288.0,5.5,1994,"['Thriller', 'Science Fiction', 'Action', 'Crime']",8831
True Lies,1138.0,6.8,1994,"['Action', 'Thriller']",36955
When a Man Loves a Woman,71.0,6.0,1994,"['Drama', 'Romance']",10449
Wolf,221.0,6.0,1994,['Fantasy'],10395
Wyatt Earp,203.0,6.5,1994,"['Drama', 'Action', 'Western']",12160
Bad Company,12.0,4.9,1995,"['Action', 'Crime', 'Romance', 'Thriller']",40480
S.F.W.,22.0,6.1,1994,"['Comedy', 'Drama']",29444
A Low Down Dirty Shame,31.0,6.0,1994,"['Action', 'Comedy', 'Crime']",26352
"Faster, Pussycat! Kill! Kill!",59.0,6.5,1965,"['Action', 'Crime']",315
Street Fighter,330.0,4.1,1994,"['Action', 'Adventure', 'Thriller']",11667
Coldblooded,13.0,6.7,1995,"['Action', 'Comedy']",32502
Highlander: The Final Dimension,110.0,4.5,1994,"['Action', 'Fantasy', 'Science Fiction']",8011
In the Mouth of Madness,307.0,7.1,1994,"['Horror', 'Mystery', 'Thriller']",2654
8 Seconds,22.0,7.2,1994,"['Drama', 'Romance']",18069
Above the Rim,40.0,6.7,1994,"['Crime', 'Drama']",19092
Addams Family Values,537.0,6.5,1993,"['Comedy', 'Family', 'Fantasy']",2758
The Age of Innocence,172.0,7.0,1993,"['Drama', 'Romance']",10436
Airheads,222.0,5.8,1994,"['Comedy', 'Crime', 'Music']",13595
The Air Up There,42.0,5.1,1994,"['Comedy', 'Family']",46094
Another Stakeout,58.0,4.9,1993,"['Action', 'Comedy']",9409
Bad Girls,61.0,4.6,1994,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",11853
Barcelona,20.0,6.6,1994,"['Comedy', 'Drama', 'Romance']",16771
Being Human,15.0,5.0,1994,"['Drama', 'Comedy', 'Fantasy']",46924
The Beverly Hillbillies,86.0,5.0,1993,['Comedy'],11041
Beverly Hills Cop III,445.0,5.5,1994,"['Action', 'Comedy', 'Crime']",306
Black Beauty,68.0,6.6,1994,"['Action', 'Adventure', 'Drama', 'Family']",14522
Blink,45.0,6.3,1994,"['Mystery', 'Crime', 'Drama', 'Thriller']",26203
Blown Away,126.0,6.0,1994,"['Drama', 'Action', 'Thriller']",178
Blue Chips,41.0,5.7,1994,['Drama'],19819
Blue Sky,28.0,6.1,1994,"['Drama', 'Romance']",57834
Body Snatchers,102.0,5.8,1993,"['Horror', 'Science Fiction', 'Thriller']",4722
Boxing Helena,59.0,4.5,1993,"['Drama', 'Romance']",18215
A Bronx Tale,447.0,7.4,1993,"['Drama', 'Crime']",1607
Cabin Boy,28.0,4.9,1994,['Comedy'],26391
Calendar Girl,10.0,3.7,1993,"['Drama', 'Comedy']",117553
Carlito's Way,805.0,7.7,1993,"['Action', 'Crime', 'Drama', 'Thriller']",6075
City Slickers II: The Legend of Curly's Gold,103.0,4.9,1994,"['Action', 'Comedy', 'Drama', 'Western']",11310
Clean Slate,25.0,5.7,1994,"['Comedy', 'Thriller', 'Mystery']",18658
Cliffhanger,600.0,6.1,1993,"['Action', 'Adventure', 'Thriller']",9350
Coneheads,228.0,4.8,1993,"['Comedy', 'Science Fiction', 'Family']",9612
Color of Night,117.0,5.4,1994,"['Drama', 'Mystery', 'Romance', 'Thriller']",2124
Cops & Robbersons,36.0,5.0,1994,"['Action', 'Comedy', 'Family']",26261
The Cowboy Way,38.0,5.1,1994,"['Western', 'Action', 'Comedy']",19176
Dave,205.0,6.3,1993,['Comedy'],11566
Dazed and Confused,588.0,7.4,1993,"['Comedy', 'Drama']",9571
Demolition Man,1018.0,6.4,1993,"['Crime', 'Action', 'Science Fiction']",9739
The Endless Summer 2,12.0,7.1,1994,['Documentary'],24257
